製品名,プラットフォーム,更新日,ダウンロード
.NET 10 SDK Installer,Win32,2025/10/25,"file/.NET_10_SDK_Installer_Win32_VPATJ00001.xlsx"
.NET 10 Windows Forms Runtime,Win32,2025/12/16,"file/NET_10_Windows_Forms_Runtime_Win32_VPATJ00002.xlsx"
.NET 6,All platforms,2024/05/14,"https://vpatj.azurewebsites.net/file/.NET_6_All_platforms_VPATJ00010.xlsx"
.NET 6.0 - ASP.NET Core Project Templates,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/.NET_6.0_-_ASP.NET_Core_Project_Templates_Web_VPATJ00020.xlsx"
.NET 6.0 WinForms_WPF,Win32,2024/05/14,"https://vpatj.azurewebsites.net/file/.NET_6.0_WinForms_WPF_Win32_VPATJ00030.xlsx"
.NET 7,All platforms,2024/05/14,"https://vpatj.azurewebsites.net/file/.NET_7_All_platforms_VPATJ00040.xlsx"
.NET 8,All platforms,2024/05/14,"https://vpatj.azurewebsites.net/file/.NET_8_All_platforms_VPATJ00050.xlsx"
.NET 9,All platforms,2025/03/08,"https://vpatj.azurewebsites.net/file/.NET_9_All_platforms_VPATJ00051.xlsx"
.NET Azure Tools,Win32,2026/03/05,"https://vpatj.azurewebsites.net/file/.NET_Azure_Tools_Win32_VPATJ00052.xlsx"
.NET Framework 4.7.1 SDK Tools,"Web, Win32",2024/05/14,"https://vpatj.azurewebsites.net/file/.NET_Framework_4.7.1_SDK_Tools_Web_Win32_VPATJ00060.xlsx"
.NET Framework 4.7.2 SDK Tools,"Web, Win32",2024/05/14,"https://vpatj.azurewebsites.net/file/.NET_Framework_4.7.2_SDK_Tools_Web_Win32_VPATJ00070.xlsx"
.NET Framework 4.8 SDK Tools,"Web, Win32",2024/05/14,"https://vpatj.azurewebsites.net/file/.NET_Framework_4.8_SDK_Tools_Web_Win32_VPATJ00080.xlsx"
.NET Framework 4.8.1 (Windows Forms and WPF),Win32,2026/02/26,"https://vpatj.azurewebsites.net/file/.NET_Framework_4.8.1_Windows_Forms_and_WPF_Win32_VPATJ00090.xlsx"
.NET MAUI,"Win32, iOS, MAC and Android",2025/10/31,"file/.NET_MAUI_Win32_iOS_MAC_and_Android_VPATJ00091.xlsx"
.NET MAUI VS Code Extension,"Win32, Linux, Mac",2026/03/27,"https://vpatj.azurewebsites.net/file/.NET_MAUI_VS_Code_Extension_Win32_Linux_Mac_VPATJ00092.xlsx"
.NET Portability Service,"Windows, Mac, Linux",2024/05/14,"https://vpatj.azurewebsites.net/file/.NET_Portability_Service_Windows_Mac_Linux_VPATJ00110.xlsx"
.NET Websites,Web,2025/09/08,"https://vpatj.azurewebsites.net/file/.NET_Websites_VPATJ00111.xlsx"
.NET Websites (2023),Web,2024/09/05,"https://vpatj.azurewebsites.net/file/.NET_Websites_2023_VPATJ00120.xlsx"
1up,Web,2024/10/22,"file/1up_Web_VPATJ00130.xlsx"
3D Builder,Xbox,2024/05/14,"https://vpatj.azurewebsites.net/file/3D_Builder_Xbox_VPATJ00140.xlsx"
3D Product Pages,Web,2025/01/28,"https://vpatj.azurewebsites.net/file/3D_Product_Pages_Web_VPATJ00150.xlsx"
A4O CFS and MVS,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/A4O_CFS_and_MVS_Web_VPATJ00160.xlsx"
A4O EAS,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/A4O_EAS_Web_VPATJ00170.xlsx"
A4O EMS,Web,2026/05/08,"https://vpatj.azurewebsites.net/file/A4O_EMS_Web_VPATJ00180.xlsx"
A4O MCT,Multi-platform Teams app,2024/05/14,"https://vpatj.azurewebsites.net/file/A4O_MCT_Multi-platform_Teams_app_VPATJ00190.xlsx"
A4O UC OPERATIONS,Web,2026/03/06,"https://vpatj.azurewebsites.net/file/A4O_UC_OPERATIONS_Web_VPATJ00200.xlsx"
